time,hum_rh,temp
2024-11-25T15,30,21.0
2024-11-25T16,30,21.1
2024-11-25T17,30,21.2
2024-11-25T18,30,21.2
2024-11-25T19,30,21.3
2024-11-25T20,30,21.4
2024-11-25T21,29,21.4
2024-11-25T22,29,21.2
2024-11-25T23,29,21.2
2024-11-26T00,28,21.2
2024-11-26T01,28,21.2
2024-11-26T02,28,21.2
2024-11-26T03,28,21.2
2024-11-26T04,28,21.3
2024-11-26T05,28,21.3
2024-11-26T06,27,21.2
2024-11-26T07,26,21.2
2024-11-26T08,27,21.2
2024-11-26T09,26,21.3
2024-11-26T10,27,21.8
2024-11-26T11,27,22.0
2024-11-26T12,27,22.1
2024-11-26T13,27,22.1
2024-11-26T14,27,22.2
2024-11-26T15,27,22.2
2024-11-26T16,27,22.3
2024-11-26T17,27,22.3
2024-11-26T18,27,22.4
2024-11-26T19,27,22.4
2024-11-26T20,27,22.5
2024-11-26T21,27,22.5
2024-11-26T22,27,22.5
2024-11-26T23,26,22.4
2024-11-27T00,26,22.4
2024-11-27T01,26,22.3
2024-11-27T02,26,22.3
2024-11-27T03,26,22.3
2024-11-27T04,26,22.4
2024-11-27T05,26,22.3
2024-11-27T06,26,22.2
2024-11-27T07,26,22.1
2024-11-27T08,26,21.9
2024-11-27T09,26,21.9
2024-11-27T10,26,22.1
2024-11-27T11,26,22.3
2024-11-27T12,26,22.4
2024-11-27T13,26,22.5
2024-11-27T14,26,22.5
2024-11-27T15,26,22.5
2024-11-27T16,25,22.6
2024-11-27T17,25,22.6
2024-11-27T18,25,22.3
2024-11-27T19,24,22.3
2024-11-27T20,25,22.3
2024-11-27T21,25,22.3
2024-11-27T22,25,22.3
2024-11-27T23,25,22.4
2024-11-28T00,24,22.3
2024-11-28T01,24,22.3
2024-11-28T02,24,22.3
2024-11-28T03,24,22.4
2024-11-28T04,24,22.3
2024-11-28T05,22,22.3
2024-11-28T06,24,22.3
2024-11-28T07,24,22.3
2024-11-28T08,24,22.4
2024-11-28T09,24,22.4
2024-11-28T10,24,22.4
2024-11-28T11,24,22.5
2024-11-28T12,24,22.4
2024-11-28T13,22,22.5
2024-11-28T14,22,22.5
2024-11-28T15,22,22.5
2024-11-28T16,21,22.6
2024-11-28T17,22,22.5
2024-11-28T18,22,22.5
2024-11-28T19,22,22.5
2024-11-28T20,21,22.6
2024-11-28T21,22,22.5
2024-11-28T22,22,22.5
2024-11-28T23,22,22.5
2024-11-29T00,22,22.5
2024-11-29T01,22,22.5
2024-11-29T02,22,22.5
2024-11-29T03,21,22.6
2024-11-29T04,22,22.5
2024-11-29T05,22,22.5
2024-11-29T06,22,22.5
2024-11-29T07,22,22.5
2024-11-29T08,22,22.4
2024-11-29T09,22,22.5
2024-11-29T10,22,22.5
2024-11-29T11,22,22.6
2024-11-29T12,22,22.8
2024-11-29T13,22,22.9
2024-11-29T14,22,23.0
2024-11-29T15,22,23.0
2024-11-29T16,22,22.9
2024-11-29T17,22,22.9
2024-11-29T18,22,22.8
2024-11-29T19,22,22.8
2024-11-29T20,22,22.8
2024-11-29T21,22,22.8
2024-11-29T22,22,22.8
2024-11-29T23,22,22.8
2024-11-30T00,22,22.8
2024-11-30T01,22,22.8
2024-11-30T02,22,22.8
2024-11-30T03,22,22.8
2024-11-30T04,21,22.6
